"esporte";"mediana_altura";"mediana_peso";"proporcao"
"Athletics";175;65;0,436708860759494
"Swimming";180;71;0,465847665847666
"Rowing";186;78;0,363086232980333
"Football";176;71;0,328407224958949
"Hockey";173;70;0,440501043841336
"Basketball";192;86;0,505235602094241
"Canoeing";180;78;0,245283018867925
"Cycling";176;68;0,311166875784191
"Water Polo";186;86;0,388888888888889
"Handball";182;79;0,54653937947494
"Volleyball";190;79;0,512534818941504
"Sailing";178;71;0,364963503649635
"Shooting";174;75;0,328199052132701
"Gymnastics";162;58;0,472222222222222
"Fencing";178;72;0,424870466321244
"Equestrianism";175;68;0,36
"Boxing";174;64;0,0469135802469136
"Wrestling";173;74;0,158129175946548
"Judo";174;76;0,382297551789077
"Weightlifting";167;75;0,302547770700637
"Baseball";184;88;0
"Diving";167;60;0,51937984496124
"Taekwondo";176;68;0,56043956043956
"Softball";170;68;1
"Synchronized Swimming";168;55;1
"Rhythmic Gymnastics";168;49;1
"Rugby Sevens";173,5;76;0,470588235294118
"Archery";172;69;0,523012552301255
"Tennis";180;73;0,423780487804878
"Beach Volleyball";187,5;81;0,425
"Badminton";175;71;0,398936170212766
"Table Tennis";171;67;0,409691629955947
"Triathlon";175;63,5;0,466165413533835
"Modern Pentathlon";177;63;0,505050505050505
"Trampolining";165;57;0,457142857142857
"Golf";175;73,5;0,315789473684211
